flux_idx,index,lon,lat,num_ps,chi2dof,true_q,fit_q,true_u,fit_u
211,9891,1.0659251837722643,0.7388896757842112,0.0,1.0046128835677792,8998.415188608751,8721.046876746861,11749.022478465713,12728.83813916053
214,9893,1.281600817240726,0.7310376605341364,0.0,1.0219253632939296,-4274.987054161871,-7253.864351258606,-14067.584947502486,-13469.539752744528
217,9809,1.7158370095244984,1.0175769685388587,0.0,0.9911353937532299,-4034.054925597454,-4356.09010219484,14042.134664945237,15390.516054805492
474,9785,2.000742042706263,0.8759571604966708,0.0,0.9936973924591279,-4127.471602028688,-4068.5640008626874,5974.363767013579,6502.628464734248
562,9797,0.7305278807491334,1.2787228927950365,0.0,0.9937310822043744,5739.000508729492,6673.967955774673,-2067.3480113094784,-2423.6461004319603
571,9644,2.6716019433415648,0.9064033492953304,0.0,0.9919966665286506,-4063.792383297812,-1102.80950608897,-4428.469947423661,-5240.065489848171
576,9746,2.158972284716985,1.0258608002251488,2.0,0.9990018180363522,-3179.0648090888526,-4075.6002688666217,-5050.85459741146,-5435.09960458128
598,9886,1.5303317501723588,0.7340928495581129,0.0,1.0086305888408673,1188.7923185869456,922.5460197450356,-5706.684551630097,-4781.4829318504135
634,9761,2.042547301875515,1.076602338457689,2.0,0.9990018180363522,2091.3052301460466,884.3806117565058,5065.168486672536,6779.970512775323
665,9642,3.150332247396144,1.0266886538231188,0.0,0.9874079461974559,-2262.7562449546635,-1800.5295482889755,4688.633438454359,4276.340375010847
735,9733,2.976955925180019,1.4547152924367677,0.0,1.0039847736966854,70.97755456041897,-1208.2832198100537,-4719.815573463854,-5643.239692659544
892,9823,1.8359307386424428,0.8678950099994327,0.0,1.0039160649347427,1758.1394826408984,2924.4189500757443,3459.044210056127,5455.081797365511
1136,9666,3.13797330721469,1.1347830294063874,0.0,1.004214164421685,1847.0348507831068,2289.8935538494306,-2435.924813375256,-3647.0828596511146
1235,9696,3.1244939998148125,1.2952347983361887,0.0,1.0073927018149633,-2563.9594014426716,-3588.815298589427,-1103.1129631952638,-4127.034203333398
1400,9751,2.1226482971945013,1.051480595951507,2.0,0.9990018180363522,-1353.5256682021377,-1659.1380224839702,2053.7284584419053,891.9167674879701
1451,9759,1.976480896942039,1.219348055744519,0.0,1.000970592398764,-1949.0220688674547,-4471.796008279933,1306.5711656896947,1999.228230376758
1520,9727,3.5195487663510225,1.4539165782845889,0.0,0.9961399058356639,-2172.4698548699957,-1487.68796934051,570.5987920954641,-957.0693920573082
1630,9669,2.931560217907723,1.1090198046419295,0.0,0.9935579718014894,-1619.4506474982886,-3119.836906087456,-1296.7284934363647,-1541.8564504290475
1724,9775,0.98752269074238,1.4079550369832146,0.0,1.001195715716088,377.092498332879,552.9904958504716,1914.4621858707808,5069.820515450256
1796,9824,1.152439954821846,1.1278384745910857,0.0,0.9999920909933872,830.6571187184438,1695.0857444525022,-1643.154305699253,-1595.1662598987323
1810,9779,1.7561643496996635,1.2124623725359045,0.0,0.986186964192767,-881.727979989267,953.8329361592864,1587.1607621126172,1828.0763649058974
1996,9634,3.3225829280302195,0.997240003325038,0.0,0.9962523559065123,1431.1114165646284,1906.3366721834832,605.0545145195254,-1735.7660185645382
