second_fit_index,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err,fit_p,fit_p_err
0,138,9891,1.0659251837722643,0.7388896757842112,3227.349942956597,60.81695578380964,79.40729179515779,100.02109827956896,0.0,0.9833737823990764,503.93984771053385,530.406467016988,31.542985904627983,657.9825974290334,622.9708371247164,31.628194357169946,818.1831605217216,31.59241277379058
1,149,9809,1.7158370095244984,1.0175769685388587,1251.9344966811798,-25.234398723564524,87.83837394398786,91.39121848440188,0.0,0.8753196224605317,-209.09660613439237,-182.53161377010224,31.54391260122395,727.8440069546892,742.3018388771604,31.628470249696647,764.4146845959539,31.623654951600198
2,169,9893,1.281600817240726,0.7310376605341364,1062.8529350333913,-24.637175416276897,-81.07289066468171,84.73372417886418,0.0,0.8925277547855499,-204.14791018858452,-171.63175763691436,31.63157475805504,-671.7840386527353,-698.6376269522616,32.04204790432573,719.4108659333858,32.018826271023734
3,367,9785,2.000742042706263,0.8759571604966708,498.69170993849457,-25.475519932366463,36.8748807756678,44.81918058202443,0.0,0.9120169790082202,-211.094578306419,-175.90121161355768,31.71271580808325,305.5516601076096,269.45029868376304,31.600764404747835,321.7836224979244,31.634259238917487
4,397,9641,3.0962038789677027,1.0188201606618688,449.0887440783093,-36.8120731895031,-18.55782008345077,41.225252197640486,0.0,1.029370473769517,-305.03122555117744,-301.4027920456788,31.59615336561177,-153.7733170982444,-158.26328483787938,32.13435222547197,340.42754057303654,31.713246899802684
5,403,9746,2.158972284716985,1.0258608002251488,359.31515003989983,-21.64353668883584,-34.38695445167149,40.63133417526814,0.0,1.1003718497120882,-179.3421002797529,-172.50846095914758,31.85090950397281,-284.93627091768406,-324.12580800808456,31.71706156427436,367.1739485848464,31.74665542444
6,407,9850,0.8618008418776082,0.976007950926918,562.9107412979228,3.4797911860599946,-40.14990829234542,40.300422858604456,0.0,0.9758880050685916,28.834153531150054,-23.0094102266798,31.377647486852283,-332.6891063466023,-319.57678818084884,31.427290681923807,320.4040519453004,31.42703486261467
7,414,9694,2.4866819015914485,1.0589021011364903,626.5357257490629,10.15733744741581,38.61090278104437,39.924595396671656,0.0,1.0433121629803446,84.16546044479746,95.36773775097792,31.226693014299272,319.93663965379903,356.02951684336614,31.607921932604967,368.5810932040058,31.582543190260356
8,417,9797,0.7305278807491334,1.2787228927950365,2273.651406618672,37.406022608391055,-13.474692384645625,39.75899724892832,0.0,1.025635459543112,309.9527934896673,296.88768549231725,31.78959421549672,-111.65363903453252,-173.615057668155,31.824076895922783,343.9251169166071,31.798384915192365
9,448,9886,1.5303317501723588,0.7340928495581129,562.3656056842879,7.708541085145827,-37.004118918346,37.798497623377486,0.0,0.9773377649657335,63.874308907006,85.61701952823688,31.70927327026488,-306.62254978139003,-280.5000577938065,31.74977050378732,293.27556402678226,31.746321129361476
10,462,9644,2.6716019433415648,0.9064033492953304,1085.2082342251615,-24.78943693307381,-27.013997300370065,36.66431826180933,0.0,1.001803435588457,-205.40957553499837,-165.9252381879285,31.686295605182597,-223.8426687122238,-185.5859844956747,31.68255782066403,248.94445627277906,31.68421835736222
11,470,9761,2.042547301875515,1.076602338457689,473.1754411656585,13.706102459832808,33.19635854867625,35.914557849592214,0.0,0.9971957763779636,113.57114306849073,134.31747916408582,31.42455444321471,275.0707866903408,267.1554372718457,31.647647829921222,299.02042216695787,31.602760401740152
