flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,norm_true,fit_norm_arr,norm_error,fit_error,chi2dof,num_ps
127,9891,1.0659251837722643,0.7388896757842112,3224.634015438023,60.76577619475714,79.34046779008436,99.93692703751066,0.007853004365216984,0.00785468216898098,3.254850812164055e-06,0.00021365119462151842,0.9919137558950856,0.0
195,9797,0.7305278807491334,1.2787228927950365,2307.237584248555,37.95858106836237,-13.673739349638284,40.34631364233026,0.005618853716096958,0.005619101343222771,3.2537999676623616e-06,4.407075505521251e-05,0.9635998599048079,0.0
272,9894,1.5121215616582708,0.7046752451648378,1706.6401790258917,4.700571328960399,-17.98694115574831,18.59100381794907,0.004156208956297482,0.004154196335813209,3.2527084643202246e-06,0.0004842442970110628,1.0183073858296596,0.0
345,9706,3.480179657101685,1.367919153261963,1418.5274819413858,-17.331944755918684,0.5513779772125809,17.34071298118887,0.003454563356503197,0.0034551617308088253,3.2527278293148585e-06,0.00017321271717359423,1.0101127851638891,0.0
378,9758,1.4979243322528657,1.4547152924367677,1341.2393748072068,3.2748819607771456,-15.358754464708095,15.704018293551956,0.003266342355360647,0.003267685960799722,3.2860828310676566e-06,0.0004113486257403745,1.0089870603975593,1.0
404,9809,1.7158370095244984,1.0175769685388587,1292.951117746396,-26.061143072407724,90.7161868875534,94.38543182958917,0.003148745167068333,0.0031433314135459922,3.248454839004534e-06,0.001719336826289149,0.9646532819842663,0.0
423,9887,1.1477038256515248,0.7718949982558877,1256.6958897688803,12.551423016060454,19.40194240160061,23.107868544786207,0.0030604522128272315,0.003061687933085671,3.2925535855612975e-06,0.000403770479819957,0.9622769310812984,1.0
477,9680,3.68184853309368,1.2371505087966517,1143.1314976472147,0.0,-0.0,0.0,0.002783886976960143,0.00279543660185751,3.2484593972597828e-06,0.004148740589310319,0.962770444382955,0.0
479,9717,2.8870038421495186,1.3823406246807042,1140.8870910531723,15.73098424946947,-2.929746861427293,16.001477498315573,0.002778421136590056,0.002779562456868195,3.2505746840483934e-06,0.0004107801596771103,1.029940754758144,0.0
481,9893,1.281600817240726,0.7310376605341364,1136.8140050237696,-26.351610024552443,-86.71453453009987,90.63011557786945,0.0027685018830513075,0.0027657761996424082,3.2548612579985734e-06,0.0009845337023556935,0.9812064801806384,0.0
485,9644,2.6716019433415648,0.9064033492953304,1132.8693356637166,-25.878160581688096,-28.20042108982193,38.27457308364013,0.0027588953647439494,0.002751437666847577,3.2474122483700484e-06,0.0027031463359120747,1.0695791042629847,0.0
502,9727,3.5195487663510225,1.4539165782845889,1098.277886928592,-14.833361337100976,3.895979519666049,15.336468464893064,0.002674654239513738,0.0026726517105272987,3.2516548939998287e-06,0.0007487057417946608,0.9460275320684963,0.0
