Unnamed: 0,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,q_amp_true,q_amp_fit,q_amp_err,fit_error_q,u_amp_true,u_amp_fit,u_amp_err,fit_error_u,chi2dof,num_ps
21,870,9643,2.579313877170057,0.8568432171980903,532.0,-13.26784167853596,18.670832121601286,22.90492512364348,-7.180152407476258e-05,-8.235936430295244e-05,2.9884694756646677e-05,0.1470420073144496,0.00010104086516526274,0.0001261114927027905,2.9881860656464114e-05,0.24812364281048238,0.9748351411932306,0.0
22,910,9765,1.5180457038801425,1.4103549507826931,336.0,-16.29515369599975,-14.77152199057069,21.99386041362834,-8.818441603038392e-05,-4.766379278816317e-05,2.9867058984000102e-05,0.45949868543960626,-7.99389846159123e-05,-6.194931364293947e-05,2.989622564776519e-05,0.22504252536367447,1.0016465077905206,0.0
23,978,9667,3.562590879379344,1.164137224418048,369.0,20.695554966029672,0.5967243424716742,20.7041559908356,0.00011199804942938701,0.00016416125597946453,3.483295714129444e-05,0.4657510270566417,3.2292906623456627e-06,8.235957190720622e-05,3.188910717518605e-05,24.503920370977887,0.9903915180544602,1.0
24,979,9837,1.41617280777493,1.0022260386211457,475.0,-6.217405406553356,19.7166426656048,20.673706198758524,-3.364670718850934e-05,-7.233182741210901e-05,2.9866838568570216e-05,1.1497446096838562,0.00010670047377171657,9.781795292639127e-05,2.987044695809709e-05,0.08324724840799926,0.9899241748363737,0.0
25,985,9666,3.13797330721469,1.1347830294063874,723.0,12.45886287684483,-16.43112105615052,20.62049959011409,6.742357683112259e-05,7.731816623513172e-05,3.499675047570895e-05,0.14675266233341996,-8.892023003237348e-05,-0.00010147220773781335,3.64921945029897e-05,0.14115997789108328,1.012136391796076,2.0
26,998,9697,3.69187971629383,1.3237846097408774,420.0,4.006347345209633,20.05875867535906,20.45494117925448,2.168113339973715e-05,-1.7514298233036623e-05,2.9844776517623322e-05,1.807812853236213,0.00010855190157029146,0.00012876364979348752,2.9849335428456093e-05,0.18619432668444036,0.9818450369747106,0.0
27,999,9754,2.0934108941683864,1.0341350558700115,601.0,20.3456549401816,-1.4979966611801714,20.40072716698704,0.00011010449690303047,0.00010619049670902887,3.1440784297634254e-05,0.03554805029851483,-8.106702351268226e-06,3.8161528078286926e-06,3.099456725362136e-05,1.4707404617158155,0.9992062497852106,1.0
28,1019,9807,1.516067224006115,1.1266124035913023,797.0,-18.78912557643789,6.976981350148767,20.042692151691504,-0.00010168103336677797,-0.0001239404661048592,2.9859825363166267e-05,0.21891430487127606,3.7757301188806044e-05,6.904277754129205e-05,2.988322613823387e-05,0.8285940829309392,0.9683854134510045,0.0
29,1033,9624,3.3208855676583013,0.9697501773412222,630.0,1.5944562929477468,19.63103177345138,19.695677174455778,8.628712542557043e-06,-6.3895154942373395e-06,3.327923691826427e-05,1.740494652327804,0.00010623717365984079,7.73889964177149e-05,3.366005143267244e-05,0.2715450369048261,1.0153386519922252,3.0
30,1063,9894,1.5121215616582708,0.7046752451648378,1750.0,4.819996579698421,-18.443927085160933,19.063336889197483,2.608435560528018e-05,7.157946707704035e-05,2.985553876738245e-05,1.7441531682902958,-9.981292411566358e-05,-6.802339460935199e-05,2.9898789102235368e-05,0.31849111513328443,1.010579777001536,0.0
31,1065,9663,2.4806640236898354,0.8751090696129726,693.0,-6.300089068984256,-17.947136410829557,19.02079986819847,-3.409416602337215e-05,-3.513673247178121e-05,2.9859697569954247e-05,0.030579027734374344,-9.712444407291273e-05,-9.405106644427819e-05,2.9859745185936178e-05,0.03164370883119097,0.9848588269829923,0.0
32,1066,9817,1.6746552690597485,1.005548043372414,716.0,-16.811426761983796,-8.86464641013284,19.005420956932948,-9.097832885166619e-05,-1.1164764722637187e-05,3.106052136388527e-05,0.8772810529325005,-4.7972770406289986e-05,-3.502071353355459e-05,3.068316368614373e-05,0.2699876776563477,0.9857905595825065,1.0
33,1080,9690,3.044310381078064,1.2181332433948224,769.0,-6.706284825361228,17.63404692158575,18.86620966149688,-3.6292373922381825e-05,-1.091444631970412e-05,2.986385202716614e-05,0.6992633674764085,9.543009897563426e-05,3.6198268680135196e-05,2.9854830532236032e-05,0.6206828970241607,0.9939822601052011,0.0
34,1084,9696,3.1244939998148125,1.2952347983361887,669.0,-17.29475683191779,-7.440862927027489,18.827507933180623,-9.359396419713195e-05,-9.432941843545971e-05,2.9861821224059435e-05,0.007857923794943827,-4.0267687204640055e-05,-6.516851356996514e-05,2.983843969201055e-05,0.6183823331789405,1.0052624789753555,0.0
35,1109,9773,1.1323911762048722,1.4027544128059766,518.0,15.708782339620477,9.733255237047045,18.47977543432484,8.501115258016288e-05,4.8094465625436256e-05,3.1991655653284905e-05,0.4342569866926028,5.267341721142382e-05,4.467612816515243e-05,3.302350176420427e-05,0.1518277998591087,1.0032617529312613,2.0
36,1141,9710,3.591178050861697,1.3999536071547776,457.0,7.80698722919351,16.16651902857117,17.952865707121642,4.224904058021259e-05,2.5859264356424484e-05,2.9860339446524317e-05,0.3879325068381384,8.748828433134773e-05,0.000137583613830842,2.9872036377092976e-05,0.5725947180512341,0.9665840115970487,0.0
37,1146,9743,2.303283456026622,1.3811392211255948,758.0,17.83643477045713,1.786463179432757,17.92567588718041,9.652536046241299e-05,0.00011624427014727428,2.98970638753394e-05,0.20428734573376545,9.667795418016477e-06,-2.8774159921047236e-05,2.9872747865400455e-05,3.976289699658412,1.005167250181991,0.0
38,1152,9706,3.480179657101685,1.367919153261963,1461.0,-17.850885238925184,0.5678869355460727,17.859915996018596,-9.66035620030056e-05,-0.0001425269123213552,2.9879139119691153e-05,0.47537947220746174,3.0732313862561718e-06,-4.0958282782753604e-05,2.9867852161335193e-05,14.32743215038202,1.0073508147809078,0.0
39,1168,9840,1.0759291800955066,1.0452904194257904,974.0,17.47838703058467,-2.707420661832482,17.686835212412305,9.458771498568434e-05,9.35211825257681e-05,3.0360580162949638e-05,0.011275591762393842,-1.4651737226074988e-05,-6.941490084554964e-05,3.115758719368674e-05,3.7376566870183354,1.0044963276828105,1.0
40,1180,9826,0.9151916627006884,1.1429462673679935,331.0,-17.41228579467641,-2.0806150567259047,17.536152816674598,-9.42299952000227e-05,-0.00011306410196139073,2.9869325402166606e-05,0.19987379519004259,-1.125965591882938e-05,-3.854102383529036e-05,2.9891610952702453e-05,2.4229308704574795,1.0279788372678798,0.0
41,1184,9792,1.5480677625808226,1.1966494253321391,430.0,17.389406740171314,1.7507448464036242,17.477315992231883,9.410618071514586e-05,5.643812588418742e-05,2.9864839399863796e-05,0.400271847658737,9.47449866252002e-06,4.358914921163623e-05,2.9872246036046803e-05,3.6006813409631557,1.0146701611872087,0.0
42,1206,9782,1.9917383068021592,0.9219868337305503,419.0,-13.84059835372281,-10.246469193349498,17.220693764170328,-7.490110901094245e-05,-0.0001154421941491984,2.98498501187403e-05,0.5412614802850678,-5.545077506146268e-05,-4.250938072427083e-05,2.985717279357564e-05,0.233385274107483,0.9849639626524045,0.0
43,1207,9635,3.0702415909314187,0.978509377322622,314.0,-6.5545837671725184,15.91666814456696,17.21345093771595,-3.54714139316303e-05,-6.825774346843906e-05,2.9876078060261593e-05,0.9243028654003775,8.61361673331512e-05,0.00013534016052667687,2.9890496921422766e-05,0.5712349959015246,0.9738222353215983,0.0
44,1225,9758,1.4979243322528657,1.4547152924367677,1447.0,3.5331159271443924,-16.569836919399393,16.942325805217315,1.9120148886927164e-05,8.005586438989852e-05,3.900978112368131e-05,3.1869895921487483,-8.967091809723998e-05,-5.990403840691686e-05,3.9479866303306576e-05,0.3319568966389263,0.9980448486570731,1.0
45,1244,9732,2.5314823155872768,1.339846379726393,506.0,-11.209651244103014,-12.403909719631669,16.71864998578513,-6.06632233918824e-05,-8.640647381601558e-05,2.9863002537771597e-05,0.42436337841516675,-6.71261870569434e-05,-1.4936648822668017e-05,2.9871725554634168e-05,0.7774840270608965,0.985350599938985,0.0
46,1253,9751,2.1226482971945013,1.051480595951507,415.0,-9.129979704102745,13.853079837206735,16.59109250089794,-4.940867349862462e-05,-7.229883646226273e-05,2.9873411569697028e-05,0.46328228108118097,7.496865500361958e-05,8.14412861870308e-05,2.9863432628458918e-05,0.08633783256613993,1.024511672497018,0.0
47,1261,9885,1.7207429488107178,0.6851801334166481,481.0,13.812099551402566,9.010318263570689,16.491207634030033,7.474688215999885e-05,0.0001187930344057485,2.9898483592127596e-05,0.5892707625110972,4.876110217456498e-05,2.66006654485295e-05,2.987992980063738e-05,0.45446956155135726,0.9948209947956064,0.0
48,1279,9889,1.335294043090938,0.7458578269662859,422.0,7.847488569900151,14.204242993940884,16.227864797490525,4.246822151862495e-05,1.3738522487960567e-05,2.9875767044343143e-05,0.6764987560890589,7.686904321018121e-05,6.579518656924107e-05,2.989105489998022e-05,0.14406133052366943,0.9956043096585923,0.0
49,1286,9631,2.6020881680595265,0.8252615547148763,596.0,9.713971120320332,-12.829312365718277,16.092000829716277,5.25690574364912e-05,6.6557390827224824e-06,2.9884119060732424e-05,0.8733905569685495,-6.942833680175599e-05,-4.7637703192140535e-05,2.9888512757830332e-05,0.3138579233409538,0.9956024860369027,0.0
50,1290,9671,3.143862590478225,1.1539551951329248,738.0,-13.489231311594745,-8.720915165535704,16.06280556758933,-7.29996174386357e-05,-2.6469323797583574e-05,3.267448496156901e-05,0.6374046231155391,-4.719494062287222e-05,-1.4235340229491961e-05,3.161304775807752e-05,0.6983714770775017,1.0072944425283399,1.0
51,1306,9759,1.976480896942039,1.219348055744519,362.0,-13.146800500092723,8.813256006114607,15.827565978966998,-7.114648602874117e-05,-2.2201057058340542e-05,2.9871621317166498e-05,0.6879528660154496,4.769466116887752e-05,7.293201124449649e-05,2.9865163400815786e-05,0.5291441317982828,0.9745240921052327,0.0
52,1313,9717,2.8870038421495186,1.3823406246807042,1123.0,15.484350248758204,-2.883813614146249,15.750602642037334,8.379659435994639e-05,9.897432711818198e-05,3.284839706537427e-05,0.18112589030814288,-1.5606322238395766e-05,-1.296115255766954e-05,3.3794608937643984e-05,0.1694934681162993,1.0156035557165566,1.0
53,1317,9637,3.156421849681913,0.992666249261854,789.0,-13.685426681390684,7.669049332694617,15.687741109510435,-7.406136711194914e-05,-1.1571663591315728e-05,2.9880730921878366e-05,0.843755738753454,4.150256263479742e-05,4.655007276830442e-05,2.9885409191352137e-05,0.1216192401881943,0.9992254699883448,0.0
54,1327,9793,1.6531963231437783,1.1458016841121217,492.0,-3.710476918577077,15.135517721418507,15.583694544576616,-2.007997263255411e-05,-1.4936022558281747e-05,2.987537738518794e-05,0.25617316160744524,8.190881881086361e-05,7.590499237778684e-05,2.9885005941523426e-05,0.07329890139107322,1.022230500764299,0.0
55,1375,9727,3.5195487663510225,1.4539165782845889,1085.0,-14.654029952076211,3.8488781656700177,15.151054648786603,-7.930315343590947e-05,-0.0001048590594427462,3.2136366084021216e-05,0.3222558612059516,2.0828958090467525e-05,2.7052254564041028e-05,3.2381955048303165e-05,0.29878097822001115,0.975619389385627,1.0
