flux_idx,index,lon,lat,iflux,qflux,uflux,pflux
0,9188,1.3299613430968509,0.1007563279683975,298532.632619757,-8793.850706215488,-7017.354842295306,11250.559062815146
1,9189,1.3299613430968509,0.1001019892272274,158966.0291787361,-4969.059448834769,-1501.161798104443,5190.861060570034
2,9187,6.282418316785643,-0.0009765626552204422,140270.9502228099,-1291.590043604705,4988.260351509915,5152.761024459084
3,9193,1.9504565717965925,-0.037443644717212815,164751.57091204295,384.9117034864651,-4028.042058822115,4046.390965678027
4,11069,3.604854851531256,-0.2854356704607085,45564.0,2591.152144216373,-932.1101394198236,2753.7063653349733
5,9182,3.220976159362875,-0.10108351355438132,47247.4775937231,451.6043886842325,-2570.787674884304,2610.152446355558
6,11548,0.17717478100079156,-0.0061849352657501015,42540.0,-1392.6061810209912,-1960.0665440399112,2404.4152787075764
7,10089,0.8636311835796159,-0.006835990741726729,68691.0,2264.0165031909933,704.4904699045082,2371.092058294542
8,9293,2.333951768768003,0.02116043327779649,38645.0,374.0540768078029,-1812.9325058637987,1851.1187760903215
9,11529,0.1043106935762236,-0.020509250268517756,34681.0,1343.5593778916373,252.9700953571325,1367.1670238363563
10,11772,6.162000824936621,0.0061849352657498535,2844.1611259087467,580.7295278209174,1063.0674987238365,1211.346065881282
11,10815,5.822607575616923,-0.003906259934175707,32659.878263498555,77.4574495733375,-1162.2251541865976,1164.8034020891537
12,9173,4.676340431869377,-0.018555752321898333,44428.88975604756,933.4584565501368,592.7553263225192,1105.7592717172574
13,9737,5.060278732904853,1.123342049576025,43572.0,182.53129057245343,-1035.5098969013718,1051.4744022650932
14,10016,0.5978690120784287,0.0026041696101149208,12901.0,827.7590726488841,449.1672770613088,941.7729689979486
15,9276,2.2814129267829193,0.05406279013944291,14608.0,-800.9272348200218,318.33773029263784,861.8720009399972
16,9181,0.26269420992541603,-0.011067934300742942,11376.077934351451,334.8172692996139,-770.7875978581793,840.3666609482033
17,10661,5.205180308492951,-0.0058594085281305905,30719.28604617514,770.8772521375759,317.77421694595955,833.8058471963348
18,11502,0.0030679615757712823,-0.0009765626552204422,19863.446222636725,-195.93907434571904,793.704163881807,817.5319080126326
19,11119,5.324911176733334,0.9959929228284523,11192.0,539.1250450492535,-613.8886667131299,817.0159786186459
20,11503,0.0030679615757712823,-0.0029296916909677903,9560.955094010013,805.1269241149747,-44.15042703484063,806.3365452106204
21,9334,2.6277090896481035,-0.2315559133347154,46894.0,-158.77819860811888,-764.4085137472049,780.7245943624742
22,10690,5.403063830130199,0.3398369094541219,66077.0,768.0680076754903,-70.34324892541021,771.2824625803307
23,10315,1.502917676930957,-0.6668190898617979,14468.0,44.83421851422738,757.6410513653117,758.9664484440115
24,9191,1.9504565717965925,-0.03679215429885247,32169.29608588197,-12.343724609728934,-756.8756184515114,756.9762673582301
25,10810,5.806117282147151,-0.01074239410912006,1513.129955056164,-515.9259297205074,539.9326500297473,746.7977179438321
26,9192,1.950073076599621,-0.03776939587168465,19473.917589894307,660.370731741326,309.170567271373,729.1611228030996
27,10486,4.391020005322648,-0.604906166899724,15827.0,707.4643425313222,-176.03551742674986,729.0365555642458
