flux_idx,index,lon,lat,iflux,qflux,uflux,pflux
0,10089,0.8636311835796159,-0.006835990741726729,87326.66042770671,2878.2373291535114,895.6166024647556,3014.3621583252484
1,11069,3.604854851531256,-0.2854356704607085,43180.08025662194,2455.5824235005925,-883.3419065086264,2609.631767587017
2,9188,1.3299613430968509,0.1007563279683975,67369.61076224614,-1984.5009705643583,-1583.600627366426,2538.904300907425
3,11548,0.17717478100079156,-0.0061849352657501015,39761.15852027434,-1301.636932766561,-1832.0290683558344,2247.35159955951
4,9187,6.282418316785643,-0.0009765626552204422,54507.6547527938,-501.89682230799446,1938.3797758927428,2002.3028182152823
5,9293,2.333951768768003,0.02116043327779649,35315.01878403309,341.8224026060737,-1656.7148531184948,1691.6106701799988
6,11529,0.1043106935762236,-0.020509250268517756,34720.983193872205,1345.1083469261246,253.26174070664763,1368.7432097643782
7,9737,5.060278732904853,1.123342049576025,44100.5504881197,184.74548782594624,-1048.071157836376,1064.2293207577625
8,9193,1.9504565717965925,-0.037443644717212815,41575.297389586965,97.13302551588924,-1016.4822439398794,1021.1126171441242
9,10016,0.5978690120784287,0.0026041696101149208,13366.791617913776,857.6453789578469,465.3844968656893,975.7757559863228
10,10315,1.502917676930957,-0.6668190898617979,17478.389919984664,54.16297711843114,915.2851614010262,916.8863368876396
11,10690,5.403063830130199,0.3398369094541219,71504.09783512077,831.1516861366974,-76.12074629905695,834.6301536519038
12,9276,2.2814129267829193,0.05406279013944291,13209.542886940466,-724.2526463358239,287.8625342847677,779.3630311794966
13,11119,5.324911176733334,0.9959929228284523,10188.06075219461,490.764716939908,-558.8219291955965,743.7284154467922
14,9189,1.3299613430968509,0.1001019892272274,21934.374430970776,-685.6383787378041,-207.13258757989192,716.2429023981642
15,9334,2.6277090896481035,-0.2315559133347154,42660.299551548414,-144.44332995431395,-695.3959179470652,710.238944486806
16,10486,4.391020005322648,-0.604906166899724,15238.543104298184,681.1604143815966,-169.49041638939548,701.9305602182876
