Band Index,lmin,lpeak,lmax,nside
1         ,0   ,0    ,40  ,20
2         ,0   ,40   ,80  ,40
3         ,40  ,80   ,160 ,80
4         ,80  ,160  ,240 ,120
5         ,160 ,240  ,360 ,180
6         ,240 ,360  ,480 ,240
7         ,360 ,480  ,600 ,300
8         ,480 ,600  ,720 ,360
9         ,600 ,720  ,1000 ,500
10        ,720 ,1000 ,1270 ,650
11        ,1000 ,1270 ,1500 ,750
