flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,norm_true,fit_norm_arr,norm_error,fit_error,chi2dof,num_ps
127,9891,1.0659251837722643,0.7388896757842112,3224.634015438023,60.76577619475714,79.34046779008436,99.93692703751066,0.007853004365216984,0.007848111532414239,3.254851006416655e-06,0.0006230523472540274,0.9960675738990608,0.0
195,9797,0.7305278807491334,1.2787228927950365,2307.237584248555,37.95858106836237,-13.673739349638284,40.34631364233026,0.005618853716096958,0.005619245627103752,3.25379975327526e-06,6.9749281009277e-05,1.1320934024824199,0.0
272,9894,1.5121215616582708,0.7046752451648378,1706.6401790258917,4.700571328960399,-17.98694115574831,18.59100381794907,0.004156208956297482,0.004157600669432208,3.252708430798428e-06,0.0003348515797351626,1.017835943140872,0.0
345,9706,3.480179657101685,1.367919153261963,1418.5274819413858,-17.331944755918684,0.5513779772125809,17.34071298118887,0.003454563356503197,0.003457646323818839,3.252727980187879e-06,0.0008924332824402109,0.9242518858184462,0.0
378,9758,1.4979243322528657,1.4547152924367677,1341.2393748072068,3.2748819607771456,-15.358754464708095,15.704018293551956,0.003266342355360647,0.003262894278705441,3.2860828240105847e-06,0.0010556384726626187,0.9939557343785382,1.0
404,9809,1.7158370095244984,1.0175769685388587,1292.951117746396,-26.061143072407724,90.7161868875534,94.38543182958917,0.003148745167068333,0.0031508896803252636,3.2484548408964666e-06,0.0006810691698266197,1.0001534440191309,0.0
423,9887,1.1477038256515248,0.7718949982558877,1256.6958897688803,12.551423016060454,19.40194240160061,23.107868544786207,0.0030604522128272315,0.0030590559200532803,3.2925534380015987e-06,0.00045623740442636215,0.9910976210067272,1.0
477,9680,3.68184853309368,1.2371505087966517,1143.1314976472147,0.0,-0.0,0.0,0.002783886976960143,0.0027864627785294427,3.2484591607497525e-06,0.0009252536437783748,0.955345320562708,0.0
479,9717,2.8870038421495186,1.3823406246807042,1140.8870910531723,15.73098424946947,-2.929746861427293,16.001477498315573,0.002778421136590056,0.002779176556239612,3.2505748242452753e-06,0.00027188810206179415,1.007898506963086,0.0
481,9893,1.281600817240726,0.7310376605341364,1136.8140050237696,-26.351610024552443,-86.71453453009987,90.63011557786945,0.0027685018830513075,0.0027707653850028153,3.25486126007417e-06,0.0008175909019115996,0.9688819030036395,0.0
485,9644,2.6716019433415648,0.9064033492953304,1132.8693356637166,-25.878160581688096,-28.20042108982193,38.27457308364013,0.0027588953647439494,0.0027554333059434076,3.2474124046139898e-06,0.0012548713680060448,0.9384332132582209,0.0
502,9727,3.5195487663510225,1.4539165782845889,1098.277886928592,-14.833361337100976,3.895979519666049,15.336468464893064,0.002674654239513738,0.002674091211023842,3.2516549947809743e-06,0.00021050514925564077,1.0048859980789928,0.0
524,9618,2.5435877361959465,0.7528153711172683,1063.8206322147405,6.538907129168311,12.025768413278042,13.68855041170116,0.002590739919195278,0.002591070912517194,3.250577844548467e-06,0.00012776015047433252,1.082128176913073,0.0
589,9840,1.0759291800955066,1.0452904194257904,975.6559158306588,17.508102367112723,-2.7120235989312302,17.716904935638674,0.0023760309322815296,0.002374587381830899,3.2527188300868464e-06,0.0006075469940303049,1.0016653666912478,0.0
624,9824,1.152439954821846,1.1278384745910857,925.4372738513298,5.85245890733418,-11.576970612556286,12.972182693210383,0.0022537326457811404,0.002255731075807412,3.307355506281884e-06,0.0008867200952218094,0.9936896884623678,1.0
650,9760,1.505563921197102,1.4507215337648471,898.8657237296646,20.82294067488664,-12.473298792154772,24.2729899499056,0.0021890225118257763,0.002184102952913411,3.285310450190952e-06,0.002247377030518474,0.9855002953213093,1.0
665,9734,2.567585300216503,1.3779351414985066,883.6737237786278,-23.24905392356595,5.361204076156662,23.85919146758909,0.0021520251839551707,0.002149631614092381,3.2516573268274226e-06,0.0011122406376260464,1.089297891372362,0.0
674,9695,2.8781732200740646,1.2472535709787684,872.792517290345,0.1468524876690775,-12.339509784854808,12.340383599534585,0.0021255260024535746,0.002127007809965614,3.244262979444114e-06,0.0006971486165441993,0.8979864834647221,0.0
701,9622,3.1176693135511155,0.9454955881179958,850.8331299101466,10.65239696431917,-5.923170774663732,12.188417170053986,0.0020720479444387443,0.0020741211899705765,3.2516518356331178e-06,0.0010005779728199603,0.9042128382200534,0.0
729,9807,1.516067224006115,1.1266124035913023,826.4122585872142,-19.482514058347338,7.234457861602652,20.78234189366073,0.002012575394008757,0.002015563556766015,3.2505547823817073e-06,0.0014847457472417877,0.8938403311852617,0.0
748,9743,2.303283456026622,1.3811392211255948,814.4666051244357,19.165145745405887,1.9195443284068645,19.261034807906046,0.001983483947246286,0.0019844382378594655,3.2527290855098763e-06,0.0004811183949858913,0.9136183170137085,0.0
758,9690,3.044310381078064,1.2181332433948224,808.9621035344232,-7.054785798732381,18.55042352602176,19.846617234702176,0.0019700787438006353,0.0019685158187390103,3.2548478972520365e-06,0.0007933312648254281,0.8989227409586462,0.0
787,9780,1.9604208961102143,1.0030566905872031,785.296547569001,-2.2090043817542813,4.646971524502785,5.14529345209283,0.0019124456253096667,0.0019184658755698825,3.2494975265266865e-06,0.0031479327728551653,0.9843173326903227,0.0
794,9823,1.8359307386424428,0.8678950099994327,780.1886552618952,12.222509807754042,24.047126067244573,26.97506289324637,0.0019000062909874703,0.0018946562238855835,3.259219215635909e-06,0.0028158154671721284,1.015241067400047,0.0
829,9861,1.4002910844846814,0.8559921400285055,751.0571014380666,-30.5694754477555,16.747099324427726,34.8562500124895,0.0018290617378230382,0.0018234084795154806,3.2559558191600077e-06,0.0030907968772482097,1.0210809069216007,0.0
