Unnamed: 0,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,q_amp_true,q_amp_fit,q_amp_err,fit_error_q,u_amp_true,u_amp_fit,u_amp_err,fit_error_u,chi2dof,num_ps
62,1357,9671,3.143862590478225,1.1539551951329248,708.398097728836,-12.948165041948467,-8.371110723197898,15.41851071581089,-2.9196021445899767e-05,-3.494722138668981e-05,5.410363154288261e-06,0.19698574175412975,-1.887550300824008e-05,-2.283329862707152e-05,5.386112654615527e-06,0.20967894826981137,1.0862953356304292,0.0
63,1370,9693,2.41032255107432,0.9839258677009792,612.8063868237955,8.042092489498904,-12.9462973276039,15.240796111239682,1.8133620017403383e-05,1.6715695613528955e-05,5.472308054024582e-06,0.07819312429143233,-2.9191810051630224e-05,-3.451803594770064e-05,5.456554828644328e-06,0.18245617132511346,0.9326354896329193,0.0
64,1399,9685,2.510537543905293,0.9905862429529736,476.617195282988,3.306728696770452,-14.564240099162792,14.934910255508958,7.456139277952412e-06,1.4158695243834626e-05,7.40361794821469e-06,0.8989311647787318,-3.284000975433988e-05,-3.621788006802503e-05,7.5078192672652425e-06,0.1028583833851864,1.1021272227097634,1.0
65,1447,3661,1.5481288290993385,1.0539552385869195,996.5444899145504,-14.162215878488242,2.661735201328826,14.410176711994112,-3.19335100510569e-05,-3.181699280664971e-05,5.46083948770295e-06,0.003648745290476797,6.001783092008569e-06,2.5023746857040507e-06,5.445883388629851e-06,0.5830614590127413,1.022668665769063,0.0
66,1460,9758,1.4979243322528657,1.4547152924367677,1218.326255908874,2.9747670346992656,-13.951255960630611,14.264879312134562,6.707619331408047e-06,1.0413816925913658e-05,5.893387961343965e-06,0.5525354692016512,-3.14578294997168e-05,-3.935803516780934e-05,5.6837922507181604e-06,0.2511363877842767,0.9257650921559238,1.0
67,1482,8420,2.141720376341503,0.8282572325005475,271.59641443320163,-8.98746470972165,-10.824042186026192,14.068916488250498,-2.0265281725959093e-05,-1.9874584133716406e-05,5.504795539725194e-06,0.019279159181005482,-2.440646738520328e-05,-2.1315860814583617e-05,5.409930430655483e-06,0.12663063940557742,1.095611858202785,0.0
68,1492,9672,2.4983744428966568,0.916095238157575,413.7898131937412,-6.321584433096777,12.48323529808436,13.992626388641655,-1.4254152158457959e-05,-1.8471459393500718e-05,5.431419009511952e-06,0.29586517585616934,2.8147679945098933e-05,3.980828628963784e-05,5.404534217621072e-06,0.41426527398643553,1.0133553622757392,0.0
69,1505,9719,3.297318151504805,1.4319441796232,483.09175966868514,13.358469031710214,3.657870507667171,13.850224240856972,3.0121190691550622e-05,3.0582932780844454e-05,5.49685782665776e-06,0.015329476647261354,8.247907363104187e-06,3.8076026086391896e-06,5.479847386088022e-06,0.5383553135342007,0.9760181352212884,0.0
70,1517,9808,1.2177427421858418,1.1934028502222271,688.6616755524683,9.10502007211254,-10.349070536465945,13.7842174780551,2.0530350086636125e-05,2.5195111666201776e-05,5.55610200286404e-06,0.2272129583704516,-2.3335483008511354e-05,-1.836104135259593e-05,5.498191110347186e-06,0.21317071749065794,1.033013113839142,0.0
71,1524,9824,1.152439954821846,1.1278384745910857,977.908799237649,6.184288470293741,-12.233375238301893,13.70769468601143,1.3944571931341107e-05,1.1658288849746533e-05,5.5264517033063246e-06,0.16395505669528954,-2.7584285854874628e-05,-2.2403921665479012e-05,5.548781939918897e-06,0.1878012799261995,1.0513533469301313,0.0
