Band Index,lmin,lpeak,lmax,nside
1         ,0   ,0    ,40  ,32
2         ,0   ,40   ,150 ,128
3         ,40  ,150  ,280 ,256
4         ,150  ,280  ,600 ,512
5         ,280  ,600  ,800 ,512
6         ,600  ,800  ,1000 ,512
