flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,norm_true,fit_norm,norm_error,fit_error,chi2dof,num_ps
127,9891,1.0659251837722643,0.7388896757842112,3224.634015438023,60.76577619475714,79.34046779008436,99.93692703751066,0.007853004365216984,0.007368972986783461,0.00019313614698397664,0.06163645859888026,1.0289210618404603,0.0
195,9797,0.7305278807491334,1.2787228927950365,2307.237584248555,37.95858106836237,-13.673739349638284,40.34631364233026,0.005618853716096958,0.0056081504205426945,0.00019314702428736884,0.001904889519298279,1.1527291975271945,0.0
272,9894,1.5121215616582708,0.7046752451648378,1706.6401790258917,4.700571328960399,-17.98694115574831,18.59100381794907,0.004156208956297482,0.004120137299925221,0.00019316685664549438,0.008678980472722626,1.0676389907125299,0.0
345,9706,3.480179657101685,1.367919153261963,1418.5274819413858,-17.331944755918684,0.5513779772125809,17.34071298118887,0.003454563356503197,0.00355145048398436,0.0001931322867602882,0.028046128405424437,0.961750599499658,0.0
378,9758,1.4979243322528657,1.4547152924367677,1341.2393748072068,3.2748819607771456,-15.358754464708095,15.704018293551956,0.003266342355360647,0.003751711124783223,0.00019452787925403666,0.14859702891400828,1.027271534390176,1.0
404,9809,1.7158370095244984,1.0175769685388587,1292.951117746396,-26.061143072407724,90.7161868875534,94.38543182958917,0.003148745167068333,0.0029997406125090095,0.0001933682776286607,0.04732188432322559,1.0330224243239747,0.0
423,9887,1.1477038256515248,0.7718949982558877,1256.6958897688803,12.551423016060454,19.40194240160061,23.107868544786207,0.0030604522128272315,0.0026201057968133798,0.00019365387185919856,0.1438827942381305,1.038112224714953,1.0
477,9680,3.68184853309368,1.2371505087966517,1143.1314976472147,0.0,-0.0,0.0,0.002783886976960143,0.002612156938214252,0.00019338352210687,0.06168714468911783,0.9523601246821302,0.0
479,9717,2.8870038421495186,1.3823406246807042,1140.8870910531723,15.73098424946947,-2.929746861427293,16.001477498315573,0.002778421136590056,0.003147676309978499,0.00019338209056677996,0.1329010813103833,1.0311441855872683,0.0
481,9893,1.281600817240726,0.7310376605341364,1136.8140050237696,-26.351610024552443,-86.71453453009987,90.63011557786945,0.0027685018830513075,0.0026686380907779295,0.000193402514825662,0.03607141930613857,1.0191031947098748,0.0
485,9644,2.6716019433415648,0.9064033492953304,1132.8693356637166,-25.878160581688096,-28.20042108982193,38.27457308364013,0.0027588953647439494,0.002445642588051062,0.00019329852252722825,0.1135428261238027,0.9876632391401778,0.0
502,9727,3.5195487663510225,1.4539165782845889,1098.277886928592,-14.833361337100976,3.895979519666049,15.336468464893064,0.002674654239513738,0.002665874869148347,0.00019316789341927167,0.0032824318880885503,1.053360181954617,0.0
524,9618,2.5435877361959465,0.7528153711172683,1063.8206322147405,6.538907129168311,12.025768413278042,13.68855041170116,0.002590739919195278,0.0026259594721460286,0.00019339649800745686,0.013594399302609425,1.1107199022106726,0.0
589,9840,1.0759291800955066,1.0452904194257904,975.6559158306588,17.508102367112723,-2.7120235989312302,17.716904935638674,0.0023760309322815296,0.0023522437851050642,0.0001933568751834175,0.010011295245901674,1.0795469456103906,0.0
624,9824,1.152439954821846,1.1278384745910857,925.4372738513298,5.85245890733418,-11.576970612556286,12.972182693210383,0.0022537326457811404,0.0022871069148794796,0.00019340424905972043,0.014808441968843958,1.0330859550781808,1.0
650,9760,1.505563921197102,1.4507215337648471,898.8657237296646,20.82294067488664,-12.473298792154772,24.2729899499056,0.0021890225118257763,0.002163646416428833,0.00019452850516659044,0.011592432357298293,1.0245500412367698,1.0
665,9734,2.567585300216503,1.3779351414985066,883.6737237786278,-23.24905392356595,5.361204076156662,23.85919146758909,0.0021520251839551707,0.0020954008507786982,0.00019314184302138336,0.026312114560111014,1.121627264724977,0.0
674,9695,2.8781732200740646,1.2472535709787684,872.792517290345,0.1468524876690775,-12.339509784854808,12.340383599534585,0.0021255260024535746,0.002340449081652066,0.0001933499172027302,0.10111524345051408,0.9044931607283591,0.0
701,9622,3.1176693135511155,0.9454955881179958,850.8331299101466,10.65239696431917,-5.923170774663732,12.188417170053986,0.0020720479444387443,0.0016770273301816255,0.00019335163080282515,0.1906426032840268,0.9149003954550602,0.0
729,9807,1.516067224006115,1.1266124035913023,826.4122585872142,-19.482514058347338,7.234457861602652,20.78234189366073,0.002012575394008757,0.0022330654079197954,0.00019337867957446237,0.10955615107260872,0.9485269549244836,0.0
748,9743,2.303283456026622,1.3811392211255948,814.4666051244357,19.165145745405887,1.9195443284068645,19.261034807906046,0.001983483947246286,0.0022241322984473686,0.00019339176066906117,0.12132608964906415,0.9768821755723028,0.0
758,9690,3.044310381078064,1.2181332433948224,808.9621035344232,-7.054785798732381,18.55042352602176,19.846617234702176,0.0019700787438006353,0.002265709404562625,0.00019343099214200687,0.15006032712766856,0.9533167626051315,0.0
787,9780,1.9604208961102143,1.0030566905872031,785.296547569001,-2.2090043817542813,4.646971524502785,5.14529345209283,0.0019124456253096667,0.0019993210904224244,0.0001933708620921945,0.04542637132425172,0.9966258522884601,0.0
794,9823,1.8359307386424428,0.8678950099994327,780.1886552618952,12.222509807754042,24.047126067244573,26.97506289324637,0.0019000062909874703,0.0018585083472846303,0.0001934094238202023,0.021840950685101515,1.0641191137939383,0.0
829,9861,1.4002910844846814,0.8559921400285055,751.0571014380666,-30.5694754477555,16.747099324427726,34.8562500124895,0.0018290617378230382,0.0019444024404061486,0.00019340221520994282,0.06306003794075847,1.0980480194597777,0.0
