flux_idx,index,lon,lat,num_ps,chi2dof,true_q,fit_q,true_u,fit_u
211,9891,1.0659251837722643,0.7388896757842112,0.0,1.006727801709661,8998.415188608751,1140.4713077041536,11749.022478465713,-1552.4872775701228
214,9893,1.281600817240726,0.7310376605341364,0.0,1.003126678942291,-4274.987054161871,-712.3752371772009,-14067.584947502486,-1405.513107059067
217,9809,1.7158370095244984,1.0175769685388587,0.0,0.9898111330428856,-4034.054925597454,830.092761277675,14042.134664945237,857.3033605283238
474,9785,2.000742042706263,0.8759571604966708,0.0,1.000914846260308,-4127.471602028688,-1271.4309079134064,5974.363767013579,-1387.6078166479622
562,9797,0.7305278807491334,1.2787228927950365,0.0,0.9869769056146778,5739.000508729492,-291.1066145532255,-2067.3480113094784,-144.70431241625104
571,9644,2.6716019433415648,0.9064033492953304,0.0,0.9958325710342525,-4063.792383297812,-672.4498313190129,-4428.469947423661,-382.3444834437395
576,9746,2.158972284716985,1.0258608002251488,2.0,0.9955565916684926,-3179.0648090888526,40.481663567145404,-5050.85459741146,1707.3818784855778
598,9886,1.5303317501723588,0.7340928495581129,0.0,1.0072447228530257,1188.7923185869456,288.872580510415,-5706.684551630097,52.170590764569326
634,9761,2.042547301875515,1.076602338457689,2.0,0.9955565916684926,2091.3052301460466,-16.133144944957326,5065.168486672536,-1259.1457473031494
665,9642,3.150332247396144,1.0266886538231188,0.0,1.0121421744240904,-2262.7562449546635,-0.5490168753311053,4688.633438454359,-2425.091180499436
735,9733,2.976955925180019,1.4547152924367677,0.0,0.98554018168286,70.97755456041897,1588.4849759173871,-4719.815573463854,95.61379085900248
892,9823,1.8359307386424428,0.8678950099994327,0.0,1.015960968052287,1758.1394826408984,-398.4672761241783,3459.044210056127,-341.7653500744659
1136,9666,3.13797330721469,1.1347830294063874,0.0,1.0096210665220546,1847.0348507831068,-278.7212468749234,-2435.924813375256,533.0312144634921
1235,9696,3.1244939998148125,1.2952347983361887,0.0,0.9862972565765049,-2563.9594014426716,837.7156922582274,-1103.1129631952638,-788.7503717328046
1400,9751,2.1226482971945013,1.051480595951507,2.0,0.9955565916684926,-1353.5256682021377,1350.8039281517672,2053.7284584419053,93.40323172441246
1451,9759,1.976480896942039,1.219348055744519,0.0,0.9989374699805883,-1949.0220688674547,-1712.649193421589,1306.5711656896947,338.65102850074015
1520,9727,3.5195487663510225,1.4539165782845889,0.0,1.0000350779282412,-2172.4698548699957,676.7953431060519,570.5987920954641,389.83424867126246
1630,9669,2.931560217907723,1.1090198046419295,0.0,1.0082113169062608,-1619.4506474982886,-408.03619468201555,-1296.7284934363647,1381.3097284766425
1724,9775,0.98752269074238,1.4079550369832146,0.0,1.009785687298692,377.092498332879,617.6736710152871,1914.4621858707808,420.06848695706736
1796,9824,1.152439954821846,1.1278384745910857,0.0,1.0031790094581248,830.6571187184438,1040.856974812925,-1643.154305699253,-1384.0681618712508
1810,9779,1.7561643496996635,1.2124623725359045,0.0,1.0052548764983915,-881.727979989267,249.724296272878,1587.1607621126172,1589.0812852451083
1996,9634,3.3225829280302195,0.997240003325038,0.0,1.0206820766547942,1431.1114165646284,-1360.4252124077468,605.0545145195254,-628.2317693992596
