flux_idx,index,lon,lat,num_ps,chi2dof,true_q,fit_q,true_u,fit_u
211,9891,1.0659251837722643,0.7388896757842112,0.0,1.008539321695316,8998.415188608751,389.19981022469364,11749.022478465713,-121.21239479602096
214,9893,1.281600817240726,0.7310376605341364,0.0,0.9994800210307887,-4274.987054161871,-93.84186451677746,-14067.584947502486,5.728445484137691
217,9809,1.7158370095244984,1.0175769685388587,0.0,0.9998127731128059,-4034.054925597454,-598.5028110063282,14042.134664945237,-1207.5962737009045
474,9785,2.000742042706263,0.8759571604966708,0.0,1.0029180018074135,-4127.471602028688,-838.2076637695708,5974.363767013579,558.0353822662871
562,9797,0.7305278807491334,1.2787228927950365,0.0,0.9867519729886889,5739.000508729492,-1670.8421805137584,-2067.3480113094784,-1256.771021054991
571,9644,2.6716019433415648,0.9064033492953304,0.0,1.0009391153369118,-4063.792383297812,80.18152406182779,-4428.469947423661,906.628666074625
576,9746,2.158972284716985,1.0258608002251488,2.0,0.989868458695006,-3179.0648090888526,307.94569636669956,-5050.85459741146,127.9963718400334
598,9886,1.5303317501723588,0.7340928495581129,0.0,1.003039306523512,1188.7923185869456,-735.4091273173926,-5706.684551630097,266.9649043889769
634,9761,2.042547301875515,1.076602338457689,2.0,0.989868458695006,2091.3052301460466,-339.24988148332295,5065.168486672536,-1537.5125330346953
665,9642,3.150332247396144,1.0266886538231188,0.0,0.9972278323883417,-2262.7562449546635,871.8418399813509,4688.633438454359,516.51476541383
735,9733,2.976955925180019,1.4547152924367677,0.0,1.0060826852325169,70.97755456041897,-1728.743597678257,-4719.815573463854,455.39546221043685
892,9823,1.8359307386424428,0.8678950099994327,0.0,0.9975424717123051,1758.1394826408984,-871.9513290259875,3459.044210056127,-499.3508113125732
1136,9666,3.13797330721469,1.1347830294063874,0.0,1.0053896625981626,1847.0348507831068,2194.4499757284,-2435.924813375256,339.5129567568044
1235,9696,3.1244939998148125,1.2952347983361887,0.0,1.0064239181046888,-2563.9594014426716,-197.68099286581875,-1103.1129631952638,829.6335478245453
1400,9751,2.1226482971945013,1.051480595951507,2.0,0.989868458695006,-1353.5256682021377,-501.9660958883301,2053.7284584419053,-771.8895453511561
1451,9759,1.976480896942039,1.219348055744519,0.0,0.9973105980393913,-1949.0220688674547,-344.42323197539446,1306.5711656896947,-1466.0225027048978
1520,9727,3.5195487663510225,1.4539165782845889,0.0,0.9849692677320468,-2172.4698548699957,187.65335109908852,570.5987920954641,711.5958536985228
1630,9669,2.931560217907723,1.1090198046419295,0.0,1.0046853585904947,-1619.4506474982886,-108.99391662220444,-1296.7284934363647,1422.5330553971714
1724,9775,0.98752269074238,1.4079550369832146,0.0,0.992305956320489,377.092498332879,-1488.5214621129437,1914.4621858707808,1302.6272672917323
1796,9824,1.152439954821846,1.1278384745910857,0.0,0.997662675677551,830.6571187184438,393.3406595004449,-1643.154305699253,-211.80359449506986
1810,9779,1.7561643496996635,1.2124623725359045,0.0,0.9872750790726683,-881.727979989267,1382.1615236417852,1587.1607621126172,-1208.217810681391
1996,9634,3.3225829280302195,0.997240003325038,0.0,0.9919542931999894,1431.1114165646284,505.51278719802724,605.0545145195254,1095.4793609143119
