flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err
211,9891,1.0659251837722643,0.7388896757842112,3221.0,60.69729593692385,79.2510547021405,99.8243026795388,2.0,0.9972852257403353,8998.415188608751,7667.03068574672,1489.5637100647164,11749.022478465713,11383.352794974622,1481.8641254552176
214,9893,1.281600817240726,0.7310376605341364,1244.0,-28.836206033420403,-94.89052780730717,99.17529453422966,2.0,1.0062903176909426,-4274.987054161871,-5861.121039857716,1482.1917257893306,-14067.584947502486,-14525.743811344131,1482.575387441775
217,9809,1.7158370095244984,1.0175769685388587,1350.0,-27.211038889910498,94.71885720757632,98.55000024443154,2.0,1.0217779405500689,-4034.054925597454,-4735.82734181808,1487.7458960409253,14042.134664945237,13726.89975441625,1500.175893155868
474,9785,2.000742042706263,0.8759571604966708,545.0,-27.841165366178046,40.29906577997369,48.98106972786036,1.0,0.9974681876732777,-4127.471602028688,-3014.394936544502,1478.7115409213648,5974.363767013579,4400.906955995237,1483.6956954673092
562,9797,0.7305278807491334,1.2787228927950365,2353.0,38.71146251414165,-13.94494823998706,41.146554064705256,1.0,1.0136114490433519,5739.000508729492,4458.746311308722,1477.0081096199938,-2067.3480113094784,-1422.4843646484871,1477.0041316404404
571,9644,2.6716019433415648,0.9064033492953304,1200.0,-27.41162790837848,-29.87149907094988,40.542617100196594,0.0,1.00300286423995,-4063.792383297812,-5054.876039657918,1476.9632337209582,-4428.469947423661,-4776.813712550626,1476.9649180017934
575,9641,3.0962038789677027,1.0188201606618688,439.0,-35.98509279799249,-18.140920083301594,40.29913007930651,3.0,0.9879603780841242,-5334.814353730857,-3171.033991649538,1493.679474182699,-2689.4036759488563,-1007.2740239167427,1489.5476337362038
576,9746,2.158972284716985,1.0258608002251488,356.0,-21.44384688586037,-34.06969002959011,40.25645722088042,2.0,0.9845435379943043,-3179.0648090888526,-2009.8581592779851,1494.24274920858,-5050.85459741146,-5251.753140612893,1489.848582427426
593,9850,0.8618008418776082,0.976007950926918,555.0,3.430888712143365,-39.58567045793543,39.73406980110865,1.0,0.9999600599290268,508.6315728110802,306.247167725096,1527.29886185685,-5868.602427859648,-4288.737798771002,1522.6450887406295
598,9886,1.5303317501723588,0.7340928495581129,585.0,8.0187986057987,-38.49348066173391,39.319831949483735,2.0,0.9865639870291362,1188.7923185869456,1656.94279326781,1485.3352585272096,-5706.684551630097,-7136.058937912086,1487.5036565330179
634,9761,2.042547301875515,1.076602338457689,487.0,14.106547629553976,34.1662419617112,36.96385769655368,4.0,1.019185511191583,2091.3052301460466,2859.564809133831,1505.5379260946568,5065.168486672536,4283.161618468723,1504.3050058499623
665,9642,3.150332247396144,1.0266886538231188,651.0,-15.263041608371315,31.62638813486681,35.11678894198783,2.0,0.986175982874106,-2262.7562449546635,-2767.2980461155557,1480.6161657790583,4688.633438454359,4228.163466954832,1492.9480114998373
690,9861,1.4002910844846814,0.8559921400285055,731.0,-29.75311265884087,16.299865326772593,33.92540821509154,2.0,0.9965800120749855,-4410.919081731825,-2450.277112458291,1532.0613117202652,2416.46606269131,1719.2146062284894,1519.0377533416095
708,9694,2.4866819015914485,1.0589021011364903,522.0,8.462614228760895,32.16878211950121,33.2632888126951,2.0,1.0042658502721868,1254.5882849633558,-153.04268984990787,1546.9647792301116,4769.0437136438195,3831.259544336541,1521.613225931553
735,9733,2.976955925180019,1.4547152924367677,345.0,0.4787671544081079,-31.83672198109924,31.84032167692323,2.0,0.9920525949223693,70.97755456041897,-238.77115382612504,1481.4210117817488,-4719.815573463854,-6341.160736928591,1485.783558566778
781,9647,2.7488935718910694,0.959307017980425,701.0,18.046766875334576,23.740187582851995,29.82083669385675,1.0,1.003197223918999,2675.445399166525,1162.0351792408376,1519.4007150397078,3519.498871052718,2244.257174235397,1504.9367937279935
854,9801,1.7017994987133642,1.060962347371496,683.7976046642005,27.24538316910173,-2.836252637746217,27.392612746072512,2.0,1.000322957622649,4039.146488223858,3884.778339800936,1479.3770659365998,-420.4763724688695,1084.9675154957908,1484.6996207866873
867,9632,3.289566220606704,0.9847587795592968,707.0,-9.817297064446974,25.234595932200616,27.0770041458252,3.0,0.997820439340174,-1455.4209318913663,2380.8047492415094,1516.3257768400008,3741.0459199152688,1638.9626695490992,1569.6937598374698
892,9823,1.8359307386424428,0.8678950099994327,757.0,11.85923412506419,23.332400836812347,26.17331394460336,1.0,1.0025104722887783,1758.1394826408984,1820.7885049653544,1490.1180923588681,3459.044210056127,6184.6129676876735,1496.9960737542601
994,9760,1.505563921197102,1.4507215337648471,870.0,20.1542431854925,-12.072737520958514,23.493499305763933,5.0,1.0026540477659605,2987.880188002347,4618.5846101927145,2598.229951577719,-1789.7915055321905,438.2680273734725,2630.7732395541784
1011,9734,2.567585300216503,1.3779351414985066,856.0,-22.520970832395115,5.193308984640304,23.112000896580486,3.0,1.0091452060546544,-3338.749162912204,-3467.2823762015682,1482.3871368566865,769.9115706091529,-221.9123500753537,1492.3956488106187
1015,9887,1.1477038256515248,0.7718949982558877,1253.0,12.51450980874625,19.3448821048317,23.03990927506104,1.0,1.0079785407169692,1855.2845460865283,2734.6063802547505,1476.9363480287711,2867.8918602050862,2084.0028865766053,1476.9343320098976
1022,9643,2.579313877170057,0.8568432171980903,532.0,-13.26784167853596,18.670832121601286,22.90492512364348,1.0,0.9849626673142039,-1966.9665054644754,-2607.8667970370934,1485.1856898555793,2767.963494149288,-419.96825764903804,1482.1843333832119
1059,9765,1.5180457038801425,1.4103549507826931,336.0,-16.29515369599975,-14.77152199057069,21.99386041362834,4.0,1.011223738829629,-2415.767560241489,-3184.4693769441337,1480.8052841982258,-2189.8881290683717,-2394.4216791432814,1505.355804030724
1130,9667,3.562590879379344,1.164137224418048,369.0,20.695554966029672,0.5967243424716742,20.7041559908356,1.0,0.9943889945879931,3068.130025702207,2962.431381176432,1520.6551764121252,88.4647874971185,-1393.468702184392,1508.7460842497917
1132,9837,1.41617280777493,1.0022260386211457,475.0,-6.217405406553356,19.7166426656048,20.673706198758524,1.0,1.0113548147752156,-921.734558030515,-2357.9070253836503,1489.244812147517,2923.005614861682,1494.4213830050212,1478.4411579883686
1136,9666,3.13797330721469,1.1347830294063874,723.0,12.45886287684483,-16.43112105615052,20.62049959011409,2.0,1.014904343741399,1847.0348507831068,4258.605642022086,1588.9707981060872,-2435.924813375256,-5799.777302987224,1584.1365063426842
1147,9697,3.69187971629383,1.3237846097408774,420.0,4.006347345209633,20.05875867535906,20.45494117925448,2.0,1.0102153217427017,593.9437045011098,3119.6600007866273,1485.1016524124848,2973.7245447731243,445.04956204774913,1486.9896118766815
1148,9754,2.0934108941683864,1.0341350558700115,601.0,20.3456549401816,-1.4979966611801714,20.40072716698704,4.0,0.9932941150327799,3016.2571101384256,1485.76334583643,1508.2711227921384,-222.07901851932152,776.347038735581,1544.9958791729637
1162,9807,1.516067224006115,1.1266124035913023,797.0,-18.78912557643789,6.976981350148767,20.042692151691504,1.0,0.9968144195905042,-2785.5005788625986,-1001.3454202267268,1483.4857872466937,1034.3422055747092,-1737.7174683338756,1484.0011367649804
1178,9624,3.3208855676583013,0.9697501773412222,630.0,1.5944562929477468,19.63103177345138,19.695677174455778,4.0,0.996891764235203,236.37922419054217,1265.592651570237,1522.780889334258,2910.3137421781894,3421.22408628865,1546.3656950539046
1194,9774,0.3926990816987241,1.41355447635604,618.9033342092231,19.23541235300376,-2.4084816744842814,19.38560993021412,3.0,1.0071802969894157,2851.662895432662,3504.9126965046576,1478.7415912978972,-357.0590377483554,-581.8810013127684,1487.2672266603
1215,9894,1.5121215616582708,0.7046752451648378,1750.0,4.819996579698421,-18.443927085160933,19.063336889197483,2.0,0.9950037274773461,714.5677540046048,714.48841393467,1486.4533046764811,-2734.3246689799016,-2514.6982435518044,1487.396911953042
1218,9663,2.4806640236898354,0.8751090696129726,693.0,-6.300089068984256,-17.947136410829557,19.02079986819847,1.0,0.9942302803381243,-933.9924669271682,385.30714372146946,1480.4504108445856,-2660.6751153966884,-2212.1736369660284,1484.3835459236047
1219,9817,1.6746552690597485,1.005548043372414,716.0,-16.811426761983796,-8.86464641013284,19.005420956932948,2.0,1.0187999681306446,-2492.305391568409,-2830.1436882398884,1483.8500959177836,-1314.1898278545953,-2226.4356868920936,1495.3003377235805
1231,9690,3.044310381078064,1.2181332433948224,769.0,-6.706284825361228,17.63404692158575,18.86620966149688,0.0,0.9907987391041122,-994.2112626298523,615.1938844744444,1477.004024051903,2614.2593867893884,1448.4539541324732,1477.0029059253898
