flux_idx,index,lon,lat,num_ps,chi2dof,true_q,fit_q,true_u,fit_u
211,9891,1.0659251837722643,0.7388896757842112,0.0,1.0189852150324707,8998.415188608751,8250.017119168884,11749.022478465713,11713.252107945049
214,9893,1.281600817240726,0.7310376605341364,0.0,1.0076176795603085,-4274.987054161871,-6886.754573347304,-14067.584947502486,-15206.529551333086
217,9809,1.7158370095244984,1.0175769685388587,0.0,1.004338202069439,-4034.054925597454,-4900.436838664768,14042.134664945237,15102.257604179988
474,9785,2.000742042706263,0.8759571604966708,0.0,1.0054412030840159,-4127.471602028688,-3985.0035443211727,5974.363767013579,7389.763978757142
562,9797,0.7305278807491334,1.2787228927950365,0.0,1.0117267449475786,5739.000508729492,7555.453277097993,-2067.3480113094784,-955.8738101105449
571,9644,2.6716019433415648,0.9064033492953304,0.0,1.000919510263531,-4063.792383297812,-3370.2675206505405,-4428.469947423661,-6583.55718995233
576,9746,2.158972284716985,1.0258608002251488,2.0,0.9972635696651599,-3179.0648090888526,-3543.048804462145,-5050.85459741146,-3213.060931177852
598,9886,1.5303317501723588,0.7340928495581129,0.0,0.9851569220982257,1188.7923185869456,780.9443750146199,-5706.684551630097,-7910.159260174077
634,9761,2.042547301875515,1.076602338457689,2.0,0.9972635696651599,2091.3052301460466,2187.3121934863047,5065.168486672536,5768.7626870876775
665,9642,3.150332247396144,1.0266886538231188,0.0,0.9814400958095221,-2262.7562449546635,-1974.161610456363,4688.633438454359,3529.5139306557485
735,9733,2.976955925180019,1.4547152924367677,0.0,1.0181500737495646,70.97755456041897,34.185220495403144,-4719.815573463854,-5485.3098367666225
892,9823,1.8359307386424428,0.8678950099994327,0.0,0.9707769522042479,1758.1394826408984,2427.412884822153,3459.044210056127,3374.6433682671873
1136,9666,3.13797330721469,1.1347830294063874,0.0,1.001054472032235,1847.0348507831068,3046.8459086209787,-2435.924813375256,-2919.5706392210814
1235,9696,3.1244939998148125,1.2952347983361887,0.0,1.0049519156544886,-2563.9594014426716,-5101.574667191157,-1103.1129631952638,-2981.6058322209856
1400,9751,2.1226482971945013,1.051480595951507,2.0,0.9972635696651599,-1353.5256682021377,-3437.866740948292,2053.7284584419053,435.8806404701931
1451,9759,1.976480896942039,1.219348055744519,0.0,1.0090685538945716,-1949.0220688674547,-2385.604516281364,1306.5711656896947,846.662824025286
1520,9727,3.5195487663510225,1.4539165782845889,0.0,0.9908536818735929,-2172.4698548699957,-4376.5313857058145,570.5987920954641,-1263.2777199171012
1630,9669,2.931560217907723,1.1090198046419295,0.0,0.997489756431058,-1619.4506474982886,-3254.9701950042095,-1296.7284934363647,-1108.603537904664
1724,9775,0.98752269074238,1.4079550369832146,0.0,1.0068277778708778,377.092498332879,1003.2587508492273,1914.4621858707808,4328.120453162164
1796,9824,1.152439954821846,1.1278384745910857,0.0,0.9885655725389111,830.6571187184438,-685.592327398867,-1643.154305699253,-2355.4622968960844
1810,9779,1.7561643496996635,1.2124623725359045,0.0,0.9974171680628383,-881.727979989267,-327.41686603013346,1587.1607621126172,1761.9331279344892
1996,9634,3.3225829280302195,0.997240003325038,0.0,0.9982796136081648,1431.1114165646284,1304.5263737665803,605.0545145195254,-1252.9156319175615
