flux_idx,index,lon,lat,num_ps,chi2dof,true_q,fit_q,true_u,fit_u
211,9891,1.0659251837722643,0.7388896757842112,0.0,1.0129168995619995,8998.415188608751,9193.697158860125,11749.022478465713,11912.226786271529
214,9893,1.281600817240726,0.7310376605341364,0.0,1.011065366321159,-4274.987054161871,-4325.611509714194,-14067.584947502486,-15902.497250208457
217,9809,1.7158370095244984,1.0175769685388587,0.0,1.0026658550876384,-4034.054925597454,-5662.545102615413,14042.134664945237,16499.99617604787
474,9785,2.000742042706263,0.8759571604966708,0.0,0.9988798178735984,-4127.471602028688,-2391.4790188706065,5974.363767013579,5759.69766388584
562,9797,0.7305278807491334,1.2787228927950365,0.0,0.9945859581215382,5739.000508729492,5383.971926307199,-2067.3480113094784,-3314.3681748764707
571,9644,2.6716019433415648,0.9064033492953304,0.0,1.00905095015525,-4063.792383297812,-7037.645054035531,-4428.469947423661,-4380.359206596786
576,9746,2.158972284716985,1.0258608002251488,2.0,1.0072423880476948,-3179.0648090888526,-3106.1612191783147,-5050.85459741146,-4133.570174036742
598,9886,1.5303317501723588,0.7340928495581129,0.0,1.0125177244826744,1188.7923185869456,2267.952736677136,-5706.684551630097,-7233.779309851895
634,9761,2.042547301875515,1.076602338457689,2.0,1.0072423880476948,2091.3052301460466,382.97740577860066,5065.168486672536,5311.355263017303
665,9642,3.150332247396144,1.0266886538231188,0.0,0.9794824592259265,-2262.7562449546635,-2121.6286455564095,4688.633438454359,3184.375554906143
735,9733,2.976955925180019,1.4547152924367677,0.0,1.0167998331282644,70.97755456041897,734.8203649751935,-4719.815573463854,-4738.291861750634
892,9823,1.8359307386424428,0.8678950099994327,0.0,1.0147045517695596,1758.1394826408984,-1246.0970187335597,3459.044210056127,5784.176941114515
1136,9666,3.13797330721469,1.1347830294063874,0.0,1.0189606252391863,1847.0348507831068,5301.910140625729,-2435.924813375256,-1794.6076043074331
1235,9696,3.1244939998148125,1.2952347983361887,0.0,0.9946037631399111,-2563.9594014426716,-3939.6522763880525,-1103.1129631952638,-2364.9929796291603
1400,9751,2.1226482971945013,1.051480595951507,2.0,1.0072423880476948,-1353.5256682021377,-2885.598798094213,2053.7284584419053,2440.1198991191104
1451,9759,1.976480896942039,1.219348055744519,0.0,0.9984438923127007,-1949.0220688674547,-3993.6840234333745,1306.5711656896947,731.57078860925
1520,9727,3.5195487663510225,1.4539165782845889,0.0,0.9963821310165294,-2172.4698548699957,-2299.202950647871,570.5987920954641,-128.8165311970419
1630,9669,2.931560217907723,1.1090198046419295,0.0,1.014389035915928,-1619.4506474982886,-4081.1227009342765,-1296.7284934363647,293.28997113648705
1724,9775,0.98752269074238,1.4079550369832146,0.0,1.0051990592185602,377.092498332879,1390.2370195822143,1914.4621858707808,3677.6166916250386
1796,9824,1.152439954821846,1.1278384745910857,0.0,0.9983984155048988,830.6571187184438,-695.0008085572645,-1643.154305699253,-2558.968578251524
1810,9779,1.7561643496996635,1.2124623725359045,0.0,0.9997694844424546,-881.727979989267,-581.8770996457376,1587.1607621126172,2563.52942930867
1996,9634,3.3225829280302195,0.997240003325038,0.0,0.9957827795700757,1431.1114165646284,184.14555905587525,605.0545145195254,-1394.2307433378069
