second_fit_index,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err,fit_p,fit_p_err
14,735,9733,2.976955925180019,1.4547152924367677,345.0,0.4787671544081079,-31.83672198109924,31.84032167692323,2.0,0.9920525949223692,70.97755456041897,-238.77115382612504,1481.4210117817488,-4719.815573463854,-6341.160736928591,1485.783558566778,6345.654509620281,1485.777391000658
18,892,9823,1.8359307386424428,0.8678950099994327,757.0,11.85923412506419,23.332400836812347,26.17331394460336,1.0,1.0025104722887783,1758.1394826408984,1820.7885049653544,1490.118092358868,3459.044210056127,6184.6129676876735,1496.99607375426,6447.069748335634,1496.4486346127771
26,1136,9666,3.13797330721469,1.1347830294063874,723.0,12.45886287684483,-16.43112105615052,20.62049959011409,2.0,1.014904343741399,1847.0348507831068,4258.605642022086,1588.9707981060872,-2435.924813375256,-5799.777302987224,1584.1365063426842,7195.355361516768,1585.8315975819808
36,1235,9696,3.1244939998148125,1.2952347983361887,669.0,-17.29475683191779,-7.440862927027489,18.827507933180623,0.0,1.011387951110536,-2563.959401442672,-4971.643130425209,1476.9934341989472,-1103.1129631952638,-3026.1832246202325,1477.0040781042885,5820.225109501958,1476.996311683626
48,1400,9751,2.1226482971945013,1.051480595951507,415.0,-9.129979704102745,13.853079837206735,16.59109250089794,0.0,0.9989510390366816,-1353.5256682021377,-4499.720885135363,1476.9756708637349,2053.728458441905,1444.8294901670304,1476.9909693503644,4725.994107040305,1476.977100736366
53,1451,9759,1.976480896942039,1.219348055744519,362.0,-13.146800500092723,8.813256006114607,15.827565978966998,0.0,0.9940386659347404,-1949.022068867455,-4489.750978664595,1476.9889890655634,1306.571165689695,421.51057374278014,1477.0036836991137,4509.49387561361,1476.9891174529166
57,1520,9727,3.5195487663510225,1.4539165782845889,1085.0,-14.654029952076211,3.8488781656700177,15.151054648786603,3.0,0.9885235977780578,-2172.469854869996,-4002.298000842796,1536.6521397345473,570.5987920954641,-2618.7397184669403,1539.0050952246784,4782.905706850863,1537.357884066818
64,1630,9669,2.931560217907723,1.1090198046419295,342.0,-10.923731917913893,-8.746863916168945,13.994125459721628,1.0,0.991505566085439,-1619.4506474982886,-4919.713165452012,1477.271810364887,-1296.7284934363647,-1307.3755104360569,1477.0462893041963,5090.462489362808,1477.2569358658172
73,1724,9775,0.98752269074238,1.4079550369832146,1069.6324627753645,2.543614012818576,12.913682623019204,13.16180728981682,3.0,1.0043084844577324,377.092498332879,1825.3589479040563,1508.7131405465411,1914.4621858707808,4126.560609374348,1485.42207758262,4512.254176299623,1489.2585300681164
79,1796,9824,1.152439954821846,1.1278384745910857,886.0,5.603057860765494,-11.083620956867437,12.419376429861405,2.0,0.9889139783935428,830.6571187184438,-59.76050178798529,1485.359040845838,-1643.154305699253,-5100.460562018782,1481.0123015674662,5100.810647562102,1481.0128990846868
80,1810,9779,1.7561643496996635,1.2124623725359045,651.0,-5.947547764302387,10.705925927865277,12.247047578155165,1.0,0.986994411871861,-881.727979989267,-128.39959119245472,1478.5270372412783,1587.1607621126172,4473.660445775744,1483.7020130106682,4475.502680047998,1483.6977609981252
