flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,norm_true,fit_norm,norm_error,fit_error,chi2dof,num_ps
127,9891,1.0659251837722643,0.7388896757842112,3224.634015438023,60.76577619475714,79.34046779008436,99.93692703751066,0.007853004365216984,0.008184667352635646,0.00019338614664093663,0.042233898262897286,1.1619697320099691,0.0
195,9797,0.7305278807491334,1.2787228927950365,2307.237584248555,37.95858106836237,-13.673739349638284,40.34631364233026,0.005618853716096958,0.005830369267873349,0.0001934037118720383,0.037643897218829284,0.9753602945152976,0.0
272,9894,1.5121215616582708,0.7046752451648378,1706.6401790258917,4.700571328960399,-17.98694115574831,18.59100381794907,0.004156208956297482,0.004437632428556517,0.00019342501421215977,0.06771157928251481,1.0176030949325765,0.0
345,9706,3.480179657101685,1.367919153261963,1418.5274819413858,-17.331944755918684,0.5513779772125809,17.34071298118887,0.003454563356503197,0.00347957033025574,0.00019339221180782597,0.007238823310467657,1.1635524792443483,0.0
378,9758,1.4979243322528657,1.4547152924367677,1341.2393748072068,3.2748819607771456,-15.358754464708095,15.704018293551956,0.003266342355360647,0.003196507118525002,0.00019426392893585843,0.02138025633505108,1.0928576061288229,1.0
404,9809,1.7158370095244984,1.0175769685388587,1292.951117746396,-26.061143072407724,90.7161868875534,94.38543182958917,0.003148745167068333,0.0030322877582922756,0.00019336879933313676,0.03698533942792389,1.0463753746998516,0.0
423,9887,1.1477038256515248,0.7718949982558877,1256.6958897688803,12.551423016060454,19.40194240160061,23.107868544786207,0.0030604522128272315,0.0031634617420709388,0.0001936492782077517,0.03365827076533489,1.00151754256869,1.0
477,9680,3.68184853309368,1.2371505087966517,1143.1314976472147,0.0,-0.0,0.0,0.002783886976960143,0.002455441658224501,0.00019338411164210247,0.11798083810654089,0.9422844482931493,0.0
479,9717,2.8870038421495186,1.3823406246807042,1140.8870910531723,15.73098424946947,-2.929746861427293,16.001477498315573,0.002778421136590056,0.0026258866870766634,0.0001931223239971312,0.05489968655385255,1.0326903697272913,0.0
481,9893,1.281600817240726,0.7310376605341364,1136.8140050237696,-26.351610024552443,-86.71453453009987,90.63011557786945,0.0027685018830513075,0.002750856417012193,0.00019340228426646265,0.006373651449233117,1.0066549647646614,0.0
485,9644,2.6716019433415648,0.9064033492953304,1132.8693356637166,-25.878160581688096,-28.20042108982193,38.27457308364013,0.0027588953647439494,0.002667795660020771,0.00019329901023755675,0.03302035513464768,1.0257959567552992,0.0
502,9727,3.5195487663510225,1.4539165782845889,1098.277886928592,-14.833361337100976,3.895979519666049,15.336468464893064,0.002674654239513738,0.0027519529958841137,0.00019313853411962725,0.0289004669195779,1.028187419370735,0.0
524,9618,2.5435877361959465,0.7528153711172683,1063.8206322147405,6.538907129168311,12.025768413278042,13.68855041170116,0.002590739919195278,0.0026352313332101804,0.00019313742908700585,0.017173246023368546,1.0676474930942836,0.0
589,9840,1.0759291800955066,1.0452904194257904,975.6559158306588,17.508102367112723,-2.7120235989312302,17.716904935638674,0.0023760309322815296,0.002465881754580222,0.00019335765135326463,0.03781551034456243,1.0860228502162403,0.0
624,9824,1.152439954821846,1.1278384745910857,925.4372738513298,5.85245890733418,-11.576970612556286,12.972182693210383,0.0022537326457811404,0.0021560846435499373,0.00019340350433225736,0.043327234228068126,1.0564914414578523,1.0
650,9760,1.505563921197102,1.4507215337648471,898.8657237296646,20.82294067488664,-12.473298792154772,24.2729899499056,0.0021890225118257763,0.00207280095795931,0.00019426505259302466,0.053092900250500626,1.0223267188460685,1.0
665,9734,2.567585300216503,1.3779351414985066,883.6737237786278,-23.24905392356595,5.361204076156662,23.85919146758909,0.0021520251839551707,0.002429852898474209,0.00019339403111705072,0.12910058701470364,1.0593231413078057,0.0
674,9695,2.8781732200740646,1.2472535709787684,872.792517290345,0.1468524876690775,-12.339509784854808,12.340383599534585,0.0021255260024535746,0.002258366733513289,0.00019335040670239606,0.0624978150850055,1.112567728032795,0.0
701,9622,3.1176693135511155,0.9454955881179958,850.8331299101466,10.65239696431917,-5.923170774663732,12.188417170053986,0.0020720479444387443,0.0018574880847933347,0.00019335074001436924,0.10354965975631775,1.0035457110487853,0.0
729,9807,1.516067224006115,1.1266124035913023,826.4122585872142,-19.482514058347338,7.234457861602652,20.78234189366073,0.002012575394008757,0.0020240494018389636,0.00019312153151816464,0.0057011567687668165,1.0531943536621566,0.0
748,9743,2.303283456026622,1.3811392211255948,814.4666051244357,19.165145745405887,1.9195443284068645,19.261034807906046,0.001983483947246286,0.0019091794989846054,0.00019339215630364117,0.03746158287030211,1.0190885613253533,0.0
758,9690,3.044310381078064,1.2181332433948224,808.9621035344232,-7.054785798732381,18.55042352602176,19.846617234702176,0.0019700787438006353,0.001776966277680285,0.0001931753631135419,0.09802271443617613,1.0452026652237734,0.0
787,9780,1.9604208961102143,1.0030566905872031,785.296547569001,-2.2090043817542813,4.646971524502785,5.14529345209283,0.0019124456253096667,0.0018442161818564853,0.0001933704135622115,0.03567654031582394,0.960148040452334,0.0
794,9823,1.8359307386424428,0.8678950099994327,780.1886552618952,12.222509807754042,24.047126067244573,26.97506289324637,0.0019000062909874703,0.0017145372657329022,0.00019341045144529378,0.09761495324216862,1.0145745649518811,0.0
829,9861,1.4002910844846814,0.8559921400285055,751.0571014380666,-30.5694754477555,16.747099324427726,34.8562500124895,0.0018290617378230382,0.0021545362585279762,0.00019340148055984772,0.17794616440466357,1.0179428762218716,0.0
846,9817,1.6746552690597485,1.005548043372414,740.2067706703157,-17.379793175766128,-9.16434538041709,19.64796267005765,0.0018026377484725376,0.0018610381833840705,0.00019336953002669472,0.03239721067697513,1.0264114126306656,0.0
847,9663,2.4806640236898354,0.8751090696129726,739.5829976547453,-6.723576853003275,-19.1535309466666,20.299365345329303,0.0018011186637668852,0.0017580260105841189,0.00019392707024361094,0.023925493666609256,1.047299422867766,1.0
858,9637,3.156421849681913,0.992666249261854,735.4815697084713,-12.757134471177968,7.14885227044606,14.623630489737454,0.0017911303886908568,0.0017076254373548138,0.00019337396106178868,0.04662136931140846,1.0683500146824458,0.0
864,9781,1.9062397579131407,1.0621982295542785,732.3207667276114,-13.912467404605378,-0.0527781082250635,13.91256751332819,0.0017834328330961914,0.0019139353280787866,0.00019354566639225392,0.07317488641051417,1.0089003831115637,1.0
876,9671,3.143862590478225,1.1539551951329248,724.7891798474899,-13.247762735913057,-8.564803455756314,15.775267850112144,0.0017650910354337452,0.0015981863138208984,0.00019342882980421302,0.0945587044873481,1.0301515457716843,0.0
887,9666,3.13797330721469,1.1347830294063874,717.9393950619146,12.371657644483156,-16.316112187056422,20.47616736044393,0.001748409641649399,0.001782682021389662,0.00019342420565593237,0.019602030853554112,0.9803834189786718,0.0
937,9779,1.7561643496996635,1.2124623725359045,682.7959280788002,-6.2380359378184975,11.228821244024058,12.845213851538675,0.0016628241772816642,0.0016638745132791241,0.00019339502222676314,0.0006316578816991948,1.015525212426424,0.0
951,9632,3.289566220606704,0.9847587795592968,674.3111787712961,-9.363384944660854,24.067850252983806,25.82507296063177,0.0016421611274500848,0.0017585615410508132,0.00019310304645586067,0.0708824558412685,1.0108676918757262,0.0
967,9808,1.2177427421858418,1.1934028502222271,667.3567509694922,8.823340732533751,-10.02890437198986,13.357779178624964,0.001625224894803623,0.0014181920914030353,0.00019544580410933124,0.12738717211540357,1.0172302485228033,2.0
1003,9647,2.7488935718910694,0.959307017980425,646.8935109722086,16.65383221923272,21.907807841098368,27.519123750382114,0.001575390429169444,0.0016928297016415004,0.0001933549876789321,0.07454613808589097,1.0163607745230603,1.0
1017,5961,2.692925858244961,1.2306800527276782,637.1392150816218,0.9762940949013232,0.9362682223815022,1.3526819079076249,0.0015516356316198094,0.0015400724296399863,0.00019348331521781218,0.0074522663337860005,1.0242984309025953,1.0
1031,9696,3.1244939998148125,1.2952347983361887,633.5742272523728,-16.37894199596414,-7.046844512828506,17.830528833860733,0.0015429537580022121,0.0018476811232477034,0.0001934725119672779,0.1974961100843661,0.9805484425310119,0.0
1046,9631,2.6020881680595265,0.8252615547148763,626.9919146995016,10.219096228297497,-13.49643477258338,16.92878256974795,0.0015269237437545648,0.0014238323695527065,0.0001933746232561644,0.06751573195683377,1.0795825143157651,0.0
1062,9624,3.3208855676583013,0.9697501773412222,614.8046332855188,1.555998597580202,19.157538556338324,19.22062473420833,0.0014972438564600885,0.0015386912609911016,0.00019344638935471644,0.027682467590153664,1.0896370852593737,1.0
1072,9642,3.150332247396144,1.0266886538231188,610.061401704396,-14.303214374616775,29.637540209530144,32.9084446778902,0.0014856925864141037,0.0017082983764602987,0.00019315024801018683,0.1498330085791709,1.0011441695185155,0.0
1109,9754,2.0934108941683864,1.0341350558700115,596.1584750683895,20.18175478104212,-1.4859291267665724,20.23638335799877,0.0014518345600336993,0.0013379574920786958,0.00019312198184643064,0.07843666977617629,1.055378211229316,0.0
1114,9693,2.41032255107432,0.9839258677009792,593.6802658559716,7.791093092143061,-12.54223422692939,14.765120079890933,0.00144579933629362,0.0011427042692469264,0.00019373179918906979,0.20963840516325943,1.0466010640622059,1.0
